Time, Date, Hour, Minute, Seconds,Altitude, Speed(knots), Latitude(Deg), Longitude(Deg), Sat#,Temp0(C), Pressure0(Hg), Altitude0(m),Temp1(C), Pressure1(Pa), Altitude1(m),Temp2(C), Pressure2(Pa), Altitude2(m),AvgAltitude(m),Gas1Voltage(V),Gas2Voltage(V)
1023,5-Jan,4,59,43,0,0,0,0,0,23.5625,1921.5,480.3125,25.88,95619.3594,490.7734,25.53,95765.5781,478.0242,482.945,0.0965,0.0419
3511,5-Jan,4,59,45,0,0,0,0,0,23.625,1920,480.375,25.95,95623.5,490.4122,25.6,95763.5234,478.2027,483.0303,0.1197,0.029
6592,5-Jan,4,59,48,0,0,0,0,0,23.625,1922.5,480.625,25.98,95620.3281,490.6885,25.64,95768.6406,477.7573,483.0714,0.127,0.0524
9670,5-Jan,4,59,52,0,0,0,0,0,23.625,1923,480.3125,26.01,95621.4766,490.5883,25.66,95766.6094,477.9342,482.8526,0.1368,0.5383
12748,11-Jan,9,15,51,0,0,0,0,0,23.625,1924,480.625,26.03,95624.7266,490.3052,25.69,95768.0313,477.8105,482.8357,0.1477,0.8147
15826,11-Jan,9,15,54,0,0,0,0,0,23.625,1922.5,480.5,26.06,95626.4609,490.1539,25.72,95769.7031,477.5719,482.9106,0.1661,0.1708
18907,11-Jan,9,15,57,0,0,0,0,0,23.625,1924.25,480.9375,26.09,95625.4453,490.2425,25.75,95766.2422,477.9663,483.0006,0.1624,0.2111
21985,11-Jan,9,16,0,0,0,0,0,0,23.6875,1923.25,481.125,26.11,95627.2031,490.0891,25.77,95766.4375,477.9495,482.893,0.1685,0.0685
25073,11-Jan,9,16,4,0,0,0,0,0,23.6875,1925.25,480.875,26.14,95629.5625,489.8829,25.81,95770.4766,477.5972,482.9465,0.1844,0.1547
28154,11-Jan,9,16,7,0,0,0,0,0,23.6875,1924.25,481.0625,26.17,95631.1094,489.7485,25.83,95769.7188,477.663,483.0441,0.1795,0.3973
31232,11-Jan,9,16,10,0,0,0,0,0,23.75,1924.25,481,26.19,95630.3594,489.8139,25.84,95768.7656,477.7462,483.1327,0.1844,0.245
34310,11-Jan,9,16,13,0,0,0,0,0,23.75,1924.25,481.375,26.22,95629.5156,489.8871,25.87,95769.9219,477.6456,482.8612,0.1966,0.0572
37391,11-Jan,9,16,16,0,0,0,0,0,23.75,1925.75,481.9375,26.24,95629.1094,489.923,25.9,95768.5,477.7694,482.9422,0.1868,0.3385
40469,29-Mar,9,16,19,0,0,0,0,0,23.75,1925.5,481.75,26.26,95629.2344,489.9119,25.91,95771.5625,477.5024,483.0772,0.1893,0.2458
43547,29-Mar,9,16,22,0,0,0,0,0,23.75,1927,481.4375,26.3,95627.3906,490.0727,25.92,95769.9219,477.6456,483.0722,0.1941,0.6382
46628,29-Mar,9,16,25,0,0,0,0,0,23.75,1926.25,481.75,26.31,95628.4531,489.9799,25.93,95772.9375,477.3829,483.1468,0.1966,0.6922
49706,29-Mar,9,16,28,0,0,0,0,0,23.75,1925.75,481.625,26.33,95625.9922,490.1945,25.95,95773.6406,477.3218,482.9664,0.1929,0.2675
52784,29-Mar,9,16,31,0,0,0,0,0,23.75,1926.25,481.8125,26.37,95632.1406,489.6584,25.97,95771.0781,477.5451,482.7399,0.199,0.776
55872,29-Mar,9,16,34,0,0,0,0,0,23.8125,1926.25,481.875,26.41,95630.8125,489.7744,25.98,95772.9063,477.3855,483.0669,0.21,0.6858
58943,29-Mar,9,16,37,0,0,0,0,0,23.8125,1927.5,481.75,26.43,95632.6563,489.6136,25.99,95771.0469,477.5477,483.1196,0.2015,0.6681
62031,29-Mar,9,16,40,0,0,0,0,0,23.8125,1928.75,482,26.46,95629.1719,489.9172,26.01,95769.2969,477.6999,483.0087,0.2027,0.8018
65109,29-Mar,9,16,43,0,0,0,0,0,23.8125,1927.5,482,26.48,95631.75,489.5819,26.05,95772.0469,477.4603,483.1208,0.21,0.6729
68190,29-Mar,9,16,46,0,0,0,0,0,23.8125,1929.75,482.375,26.51,95628.7969,489.9499,26.07,95771.375,477.5187,483.2159,0.2027,0.05
71268,29-Mar,9,16,50,0,0,0,0,0,23.875,1930,482.1875,26.54,95626.3672,490.1618,26.07,95768.5781,477.7625,483.3466,0.2027,0.2063
74346,29-Mar,9,16,53,0,0,0,0,0,23.875,1930,482.5,26.55,95625.6406,490.2256,26.09,95768.5078,477.7688,483.5981,0.1978,0.1048
77427,29-Mar,9,16,56,0,0,0,0,0,23.875,1931.75,482.5,26.57,95629.0313,489.9299,26.1,95766.0313,477.9842,483.5176,0.1966,0.0798
80505,29-Mar,9,16,59,0,0,0,0,0,23.875,1930,482.6875,26.6,95627.6328,490.0516,26.11,95768.1406,477.801,483.4159,0.2002,0.8083
83583,29-Mar,9,17,2,0,0.62,0,0,3,23.875,1930,482.9375,26.61,95623.7031,490.3943,26.11,95762.8828,478.2585,483.8503,0.199,0.5488
86661,29-Mar,9,17,5,177.8,0.34,32.8354,-112.1155,3,23.875,1932.25,483,26.63,95625.4375,490.243,26.14,95767.7188,477.8373,483.4742,0.2076,0.0371
89742,29-Mar,9,17,8,177.8,0.19,32.8354,-112.1155,3,23.9375,1930.75,482.8125,26.64,95629.3047,489.9061,26.14,95770.2344,477.6183,483.5457,0.1954,0.7382
92820,29-Mar,9,17,11,177.8,0.06,32.8354,-112.1155,3,23.9375,1930,483.0625,26.66,95629.0156,489.9309,26.14,95769.5,477.682,483.5599,0.1929,0.0411
95898,29-Mar,9,17,14,177.8,0.26,32.8354,-112.1155,3,23.9375,1931.75,482.9375,26.67,95629.0156,489.9309,26.15,95768.5313,477.7667,483.5032,0.2002,0.8002
98979,29-Mar,9,17,18,177.8,0.37,32.8354,-112.1155,3,23.9375,1933.5,482.875,26.68,95630.1563,489.8313,26.16,95770.1797,477.623,483.5366,0.1905,0.0371
102057,29-Mar,9,17,21,177.8,0.09,32.8354,-112.1155,21,23.9375,1931,483.1875,26.7,95627.0156,490.1054,26.17,95768.0938,477.8052,483.6587,0.188,0.0387
105145,29-Mar,9,17,24,177.8,0.19,32.8354,-112.1155,3,23.9375,1931.25,482.8125,26.7,95627.4609,490.0669,26.17,95765.4688,478.0337,483.595,0.1966,0.0709
